"year","quarter","org_code","nr_operating_theatres","nr_day_case_theatres","exp_problematic_org_change","org_name","unproblematic_org_change","exp_unproblematic_org_change"
2007,"Q2","5PK",0,0,0,"SOUTH STAFFORDSHIRE PCT",0,1
2007,"Q3","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2007,"Q4","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2008,"Q1","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2008,"Q2","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2008,"Q3","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2008,"Q4","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2009,"Q1","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2009,"Q2","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2009,"Q3","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2009,"Q4","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2010,"Q3","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2010,"Q4","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2011,"Q1","5PK",1,1,0,"SOUTH STAFFORDSHIRE PCT",0,1
2003,"Q2","5PL",4,0,0,"WORCESTERSHIRE PCT",0,1
2003,"Q3","5PL",4,0,0,"WORCESTERSHIRE PCT",0,1
2003,"Q4","5PL",4,0,0,"WORCESTERSHIRE PCT",0,1
2004,"Q1","5PL",4,0,0,"WORCESTERSHIRE PCT",0,1
2004,"Q2","5PL",4,0,0,"WORCESTERSHIRE PCT",0,1
2004,"Q3","5PL",4,0,0,"WORCESTERSHIRE PCT",0,1
2004,"Q4","5PL",3,0,0,"WORCESTERSHIRE PCT",0,1
2005,"Q4","5PL",3,0,0,"WORCESTERSHIRE PCT",0,1
2006,"Q1","5PL",3,0,0,"WORCESTERSHIRE PCT",0,1
2006,"Q2","5PL",3,0,0,"WORCESTERSHIRE PCT",0,1
2006,"Q3","5PL",3,0,0,"WORCESTERSHIRE PCT",0,1
2006,"Q4","5PL",3,0,0,"WORCESTERSHIRE PCT",0,1
2007,"Q1","5PL",3,0,0,"WORCESTERSHIRE PCT",1,1
2007,"Q2","5PL",3,0,0,"WORCESTERSHIRE PCT",0,1
2007,"Q3","5PL",3,0,0,"WORCESTERSHIRE PCT",0,1
2007,"Q4","5PL",3,0,0,"WORCESTERSHIRE PCT",0,1
2008,"Q1","5PL",3,0,0,"WORCESTERSHIRE PCT",0,1
2008,"Q2","5PL",3,0,0,"WORCESTERSHIRE PCT",0,1
2008,"Q3","5PL",3,0,0,"WORCESTERSHIRE PCT",0,1
2008,"Q4","5PL",3,0,0,"WORCESTERSHIRE PCT",0,1
2009,"Q1","5PL",3,0,0,"WORCESTERSHIRE PCT",0,1
2009,"Q2","5PL",3,0,0,"WORCESTERSHIRE PCT",0,1
2009,"Q3","5PL",3,0,0,"WORCESTERSHIRE PCT",0,1
2009,"Q4","5PL",3,0,0,"WORCESTERSHIRE PCT",0,1
2010,"Q3","5PL",3,0,0,"WORCESTERSHIRE PCT",0,1
2010,"Q4","5PL",3,0,0,"WORCESTERSHIRE PCT",0,1
2011,"Q1","5PL",3,0,0,"WORCESTERSHIRE PCT",0,1
2009,"Q3","5PP",0,0,0,"CAMBRIDGESHIRE PCT",0,0
2009,"Q4","5PP",0,0,0,"CAMBRIDGESHIRE PCT",0,0
2012,"Q2","5PT",1,1,0,"SUFFOLK PCT",0,0
2003,"Q2","5PW",1,0,0,"NORTH EAST ESSEX PCT",0,0
2003,"Q3","5PW",1,0,0,"NORTH EAST ESSEX PCT",0,0
2003,"Q4","5PW",1,0,0,"NORTH EAST ESSEX PCT",0,0
2004,"Q1","5PW",1,0,0,"NORTH EAST ESSEX PCT",0,0
2004,"Q2","5PW",1,1,0,"NORTH EAST ESSEX PCT",0,0
2004,"Q3","5PW",1,1,0,"NORTH EAST ESSEX PCT",0,0
2004,"Q4","5PW",1,1,0,"NORTH EAST ESSEX PCT",0,0
2006,"Q1","5PW",1,1,0,"NORTH EAST ESSEX PCT",0,0
2006,"Q2","5PW",1,1,0,"NORTH EAST ESSEX PCT",0,0
2009,"Q3","5PW",0,0,0,"NORTH EAST ESSEX PCT",0,0
2009,"Q4","5PW",0,0,0,"NORTH EAST ESSEX PCT",0,0
2003,"Q2","5QC",3,2,0,"HAMPSHIRE PCT",0,1
2003,"Q3","5QC",3,2,0,"HAMPSHIRE PCT",0,1
2003,"Q4","5QC",3,2,0,"HAMPSHIRE PCT",0,1
2004,"Q1","5QC",3,2,0,"HAMPSHIRE PCT",0,1
2004,"Q2","5QC",3,2,0,"HAMPSHIRE PCT",0,1
2004,"Q3","5QC",3,2,0,"HAMPSHIRE PCT",0,1
2004,"Q4","5QC",3,2,0,"HAMPSHIRE PCT",0,1
2005,"Q4","5QC",3,2,0,"HAMPSHIRE PCT",0,1
2006,"Q1","5QC",3,2,0,"HAMPSHIRE PCT",0,1
2006,"Q2","5QC",3,2,0,"HAMPSHIRE PCT",0,1
2006,"Q3","5QC",3,2,0,"HAMPSHIRE PCT",0,1
2006,"Q4","5QC",3,2,0,"HAMPSHIRE PCT",0,1
2007,"Q1","5QC",3,2,0,"HAMPSHIRE PCT",1,1
2007,"Q2","5QC",3,2,0,"HAMPSHIRE PCT",0,1
2007,"Q3","5QC",3,2,0,"HAMPSHIRE PCT",0,1
2007,"Q4","5QC",3,2,0,"HAMPSHIRE PCT",0,1
2008,"Q1","5QC",3,2,0,"HAMPSHIRE PCT",0,1
2008,"Q2","5QC",3,2,0,"HAMPSHIRE PCT",0,1
2008,"Q3","5QC",3,2,0,"HAMPSHIRE PCT",0,1
2008,"Q4","5QC",2,2,0,"HAMPSHIRE PCT",0,1
2009,"Q1","5QC",3,2,0,"HAMPSHIRE PCT",0,1
2009,"Q2","5QC",3,2,0,"HAMPSHIRE PCT",0,1
2009,"Q3","5QC",3,2,0,"HAMPSHIRE PCT",0,1
2009,"Q4","5QC",3,1,0,"HAMPSHIRE PCT",0,1
2010,"Q3","5QC",3,1,0,"HAMPSHIRE PCT",0,1
2010,"Q4","5QC",3,1,0,"HAMPSHIRE PCT",0,1
2003,"Q2","5QF",1,0,0,NA,0,0
2003,"Q3","5QF",1,0,0,NA,0,0
2003,"Q4","5QF",1,1,0,NA,0,0
2004,"Q1","5QF",2,2,0,NA,0,0
2004,"Q2","5QF",2,2,0,NA,0,0
2004,"Q3","5QF",2,2,0,NA,0,0
2004,"Q4","5QF",2,2,0,NA,0,0
2003,"Q2","5QK",1,1,0,"WILTSHIRE",0,0
2004,"Q1","5QK",2,2,0,"WILTSHIRE",0,0
2004,"Q2","5QK",2,2,0,"WILTSHIRE",0,0
2005,"Q4","5QK",1,1,0,"WILTSHIRE",0,0
2006,"Q1","5QK",1,1,0,"WILTSHIRE",0,0
2006,"Q2","5QK",1,1,0,"WILTSHIRE",0,0
2006,"Q3","5QK",1,1,0,"WILTSHIRE",0,0
2006,"Q4","5QK",1,1,0,"WILTSHIRE",0,0
2003,"Q2","5QL",2,2,0,"SOMERSET PCT",0,1
2003,"Q3","5QL",2,2,0,"SOMERSET PCT",0,1
2003,"Q4","5QL",2,2,0,"SOMERSET PCT",0,1
2004,"Q1","5QL",2,2,0,"SOMERSET PCT",0,1
2004,"Q2","5QL",2,2,0,"SOMERSET PCT",0,1
2004,"Q3","5QL",2,2,0,"SOMERSET PCT",0,1
2004,"Q4","5QL",2,2,0,"SOMERSET PCT",0,1
2005,"Q4","5QL",1,1,0,"SOMERSET PCT",0,1
2006,"Q1","5QL",1,1,0,"SOMERSET PCT",0,1
2006,"Q2","5QL",1,1,0,"SOMERSET PCT",0,1
2006,"Q3","5QL",1,1,0,"SOMERSET PCT",0,1
2006,"Q4","5QL",1,1,0,"SOMERSET PCT",0,1
2007,"Q1","5QL",1,1,0,"SOMERSET PCT",1,1
2007,"Q2","5QL",1,1,0,"SOMERSET PCT",0,1
2007,"Q3","5QL",1,1,0,"SOMERSET PCT",0,1
2007,"Q4","5QL",1,1,0,"SOMERSET PCT",0,1
2008,"Q1","5QL",1,1,0,"SOMERSET PCT",0,1
2008,"Q2","5QL",1,1,0,"SOMERSET PCT",0,1
2008,"Q3","5QL",1,1,0,"SOMERSET PCT",0,1
2008,"Q4","5QL",1,1,0,"SOMERSET PCT",0,1
2009,"Q1","5QL",1,1,0,"SOMERSET PCT",0,1
2009,"Q2","5QL",1,1,0,"SOMERSET PCT",0,1
2009,"Q3","5QL",1,1,0,"SOMERSET PCT",0,1
2009,"Q4","5QL",1,1,0,"SOMERSET PCT",0,1
2010,"Q3","5QL",1,1,0,"SOMERSET PCT",0,1
2010,"Q4","5QL",1,1,0,"SOMERSET PCT",0,1
2011,"Q1","5QL",1,1,0,"SOMERSET PCT",0,1
2011,"Q2","5QL",1,1,0,"SOMERSET PCT",0,1
2003,"Q2","5QM",5,3,0,"DORSET PCT",0,1
2003,"Q3","5QM",5,3,0,"DORSET PCT",0,1
2003,"Q4","5QM",4,2,0,"DORSET PCT",0,1
2004,"Q1","5QM",4,2,0,"DORSET PCT",0,1
2004,"Q2","5QM",4,2,0,"DORSET PCT",0,1
2004,"Q3","5QM",4,2,0,"DORSET PCT",0,1
2004,"Q4","5QM",3,1,0,"DORSET PCT",0,1
2005,"Q4","5QM",3,1,0,"DORSET PCT",0,1
2006,"Q1","5QM",3,1,0,"DORSET PCT",0,1
2006,"Q2","5QM",3,1,0,"DORSET PCT",0,1
2006,"Q3","5QM",3,1,0,"DORSET PCT",0,1
2006,"Q4","5QM",3,1,0,"DORSET PCT",0,1
2007,"Q1","5QM",3,1,0,"DORSET PCT",1,1
2007,"Q2","5QM",3,1,0,"DORSET PCT",0,1
2007,"Q3","5QM",3,1,0,"DORSET PCT",0,1
2007,"Q4","5QM",3,1,0,"DORSET PCT",0,1
2008,"Q1","5QM",3,1,0,"DORSET PCT",0,1
2008,"Q2","5QM",3,1,0,"DORSET PCT",0,1
2008,"Q3","5QM",3,1,0,"DORSET PCT",0,1
2008,"Q4","5QM",3,1,0,"DORSET PCT",0,1
2009,"Q1","5QM",3,1,0,"DORSET PCT",0,1
2009,"Q2","5QM",3,1,0,"DORSET PCT",0,1
2009,"Q3","5QM",3,1,0,"DORSET PCT",0,1
2009,"Q4","5QM",3,1,0,"DORSET PCT",0,1
2010,"Q3","5QM",3,1,0,"DORSET PCT",0,1
2010,"Q4","5QM",3,1,0,"DORSET PCT",0,1
2011,"Q1","5QM",3,1,0,"DORSET PCT",0,1
2003,"Q2","5QP",1,1,0,NA,0,0
2003,"Q3","5QP",1,1,0,NA,0,0
2003,"Q4","5QP",1,1,0,NA,0,0
2004,"Q1","5QP",1,1,0,NA,0,0
2004,"Q3","5QP",1,1,0,NA,0,0
2004,"Q4","5QP",1,1,0,NA,0,0
2008,"Q2","5QQ",6,6,0,"DEVON PCT",0,0
2008,"Q3","5QQ",6,6,0,"DEVON PCT",0,0
2008,"Q4","5QQ",4,4,0,"DEVON PCT",0,0
2009,"Q1","5QQ",6,6,0,"DEVON PCT",0,0
2009,"Q2","5QQ",6,6,0,"DEVON PCT",0,0
2009,"Q3","5QQ",6,6,0,"DEVON PCT",0,0
2009,"Q4","5QQ",6,6,0,"DEVON PCT",0,0
2010,"Q3","5QQ",2,2,0,"DEVON PCT",0,0
2010,"Q4","5QQ",2,2,0,"DEVON PCT",0,0
2003,"Q2","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2003,"Q3","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2003,"Q4","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2004,"Q1","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2004,"Q2","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2004,"Q3","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2004,"Q4","5QT",6,0,0,"ISLE OF WIGHT NHS PCT",0,1
2005,"Q4","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2006,"Q1","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2006,"Q2","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2006,"Q3","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2006,"Q4","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2007,"Q1","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",1,1
2007,"Q2","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2007,"Q3","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2007,"Q4","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2008,"Q1","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2008,"Q2","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2008,"Q3","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2008,"Q4","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2009,"Q1","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2009,"Q2","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2009,"Q3","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2009,"Q4","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2010,"Q3","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2010,"Q4","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2011,"Q1","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2011,"Q2","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2011,"Q3","5QT",6,2,0,"ISLE OF WIGHT NHS PCT",0,1
2003,"Q2","5QV",1,1,0,NA,0,0
2015,"Q2","ADP02",3,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2015,"Q3","ADP02",3,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2015,"Q4","ADP02",3,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2016,"Q1","ADP02",3,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2016,"Q2","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2016,"Q3","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2016,"Q4","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2017,"Q1","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2017,"Q2","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2017,"Q3","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2017,"Q4","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2018,"Q1","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2018,"Q2","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2018,"Q3","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2018,"Q4","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2019,"Q1","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2019,"Q2","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2019,"Q3","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2021,"Q3","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2021,"Q4","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2022,"Q1","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2022,"Q2","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2022,"Q3","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2022,"Q4","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2023,"Q1","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2023,"Q2","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2023,"Q3","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2023,"Q4","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2024,"Q1","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2024,"Q2","ADP02",5,0,0,"KIMS HOSPITAL (NEWNHAM COURT)",0,0
2012,"Q4","NCR",1,1,0,"ISIGHT",0,0
2013,"Q1","NCR",1,1,0,"ISIGHT",0,0
2013,"Q2","NCR",1,1,0,"ISIGHT",0,0
2013,"Q3","NCR",1,1,0,"ISIGHT",0,0
2013,"Q4","NCR",1,1,0,"ISIGHT",0,0
2014,"Q1","NCR",1,1,0,"ISIGHT",0,0
2014,"Q2","NCR",1,1,0,"ISIGHT",0,0
2014,"Q3","NCR",1,1,0,"ISIGHT",0,0
2014,"Q4","NCR",1,1,0,"ISIGHT",0,0
2015,"Q1","NCR",1,1,0,"ISIGHT",0,0
2015,"Q2","NCR",1,1,0,"ISIGHT",0,0
2015,"Q3","NCR",1,1,0,"ISIGHT",0,0
2015,"Q4","NCR",1,1,0,"ISIGHT",0,0
2016,"Q1","NCR",1,1,0,"ISIGHT",0,0
2016,"Q2","NCR",1,1,0,"ISIGHT",0,0
2016,"Q3","NCR",1,1,0,"ISIGHT",0,0
2016,"Q4","NCR",1,1,0,"ISIGHT",0,0
2017,"Q1","NCR",1,1,0,"ISIGHT",0,0
2017,"Q2","NCR",1,1,0,"ISIGHT",0,0
2017,"Q3","NCR",1,1,0,"ISIGHT",0,0
2017,"Q4","NCR",1,1,0,"ISIGHT",0,0
2018,"Q1","NCR",1,1,0,"ISIGHT",0,0
2018,"Q2","NCR",1,1,0,"ISIGHT",0,0
2018,"Q3","NCR",1,1,0,"ISIGHT",0,0
2018,"Q4","NCR",1,1,0,"ISIGHT",0,0
2019,"Q1","NCR",1,1,0,"ISIGHT",0,0
2019,"Q2","NCR",1,1,0,"ISIGHT",0,0
