"org_code","number_of_adult_critical_care_beds_open","date","month","year","number_of_paediatric_intensive_care_beds_open","number_of_neonatal_critical_care_cots_or_beds_open","number_of_adult_critical_care_beds_occupied","number_of_paediatric_intensive_care_beds_occupied","number_of_neonatal_critical_care_cots_or_beds_occupied","adult_critical_care_beds_percent_occupied","paediatric_intensive_care_beds_percent_occupied","neonatal_critical_care_cots_or_beds_percent_occupied","number_of_non_medical_critical_care_transfers","exp_problematic_org_change","org_name","unproblematic_org_change","exp_unproblematic_org_change"
"5F1",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"PLYMOUTH TEACHING PCT",0,0
"5F1",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"PLYMOUTH TEACHING PCT",0,0
"5F5",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"SALFORD PCT",0,0
"5F5",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"SALFORD PCT",0,0
"5F5",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"SALFORD PCT",0,0
"5FL",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"BATH AND NORTH EAST SOMERSET PCT",0,0
"5FL",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"BATH AND NORTH EAST SOMERSET PCT",0,0
"5FL",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"BATH AND NORTH EAST SOMERSET PCT",0,0
"5GC",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,0,"LUTON PCT",0,0
"5GC",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,0,"LUTON PCT",0,0
"5GC",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,0,"LUTON PCT",0,0
"5H1",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"HAMMERSMITH AND FULHAM PCT",0,0
"5H1",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"HAMMERSMITH AND FULHAM PCT",0,0
"5H1",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"HAMMERSMITH AND FULHAM PCT",0,0
"5H8",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,1,"ROTHERHAM PCT",0,0
"5H8",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,1,"ROTHERHAM PCT",0,0
"5H8",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,1,"ROTHERHAM PCT",0,0
"5H8",0,2010-11-01,"November",2010,0,0,0,0,0,NA,0,0,0,1,"ROTHERHAM PCT",0,0
"5H8",0,2010-12-01,"December",2010,0,0,0,0,0,NA,0,0,0,1,"ROTHERHAM PCT",0,0
"5H8",0,2011-01-01,"January",2011,0,0,0,0,0,NA,0,0,0,1,"ROTHERHAM PCT",0,0
"5H8",0,2011-02-01,"February",2011,0,0,0,0,0,NA,0,0,0,1,"ROTHERHAM PCT",0,0
"5H8",0,2011-03-01,"March",2011,0,0,0,0,0,NA,0,0,0,1,"ROTHERHAM PCT",0,0
"5H8",NA,2011-04-01,"April",2011,NA,NA,NA,NA,NA,NA,0,0,NA,1,"ROTHERHAM PCT",0,0
"5H8",NA,2011-05-01,"May",2011,NA,NA,NA,NA,NA,NA,0,0,NA,1,"ROTHERHAM PCT",0,0
"5HG",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,0,"ASHTON, LEIGH AND WIGAN PCT",0,0
"5HG",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,0,"ASHTON, LEIGH AND WIGAN PCT",0,0
"5HG",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,0,"ASHTON, LEIGH AND WIGAN PCT",0,0
"5HP",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,1,"BLACKPOOL PCT",0,0
"5HP",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,1,"BLACKPOOL PCT",0,0
"5HP",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,1,"BLACKPOOL PCT",0,0
"5HQ",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,1,"BOLTON PCT",0,0
"5HQ",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,1,"BOLTON PCT",0,0
"5HQ",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,1,"BOLTON PCT",0,0
"5J4",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,1,"KNOWSLEY PCT",0,0
"5J4",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,1,"KNOWSLEY PCT",0,0
"5J4",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,1,"KNOWSLEY PCT",0,0
"5J5",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,1,"OLDHAM PCT",0,0
"5J5",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,1,"OLDHAM PCT",0,0
"5J5",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,1,"OLDHAM PCT",0,0
"5J9",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,0,"DARLINGTON PCT",0,0
"5J9",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,0,"DARLINGTON PCT",0,0
"5J9",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,0,"DARLINGTON PCT",0,0
"5JX",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,1,"BURY PCT",0,0
"5JX",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,1,"BURY PCT",0,0
"5JX",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,1,"BURY PCT",0,0
"5JX",0,2010-11-01,"November",2010,0,0,0,0,0,NA,0,0,0,1,"BURY PCT",0,0
"5JX",0,2010-12-01,"December",2010,0,0,0,0,0,NA,0,0,0,1,"BURY PCT",0,0
"5JX",0,2011-01-01,"January",2011,0,0,0,0,0,NA,0,0,0,1,"BURY PCT",0,0
"5JX",0,2011-02-01,"February",2011,0,0,0,0,0,NA,0,0,0,1,"BURY PCT",0,0
"5JX",0,2011-03-01,"March",2011,0,0,0,0,0,NA,0,0,0,1,"BURY PCT",0,0
"5JX",0,2011-04-01,"April",2011,0,0,0,0,0,NA,0,0,0,1,"BURY PCT",0,0
"5JX",0,2011-05-01,"May",2011,0,0,0,0,0,NA,0,0,0,1,"BURY PCT",0,0
"5JX",0,2011-06-01,"June",2011,0,0,0,0,0,NA,0,0,0,1,"BURY PCT",0,0
"5JX",0,2011-07-01,"July",2011,0,0,0,0,0,NA,0,0,0,1,"BURY PCT",0,0
"5JX",0,2011-08-01,"August",2011,0,0,0,0,0,NA,0,0,0,1,"BURY PCT",0,0
"5JX",0,2011-09-01,"September",2011,0,0,0,0,0,NA,0,0,0,1,"BURY PCT",0,0
"5K3",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"SWINDON PCT",0,0
"5K3",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"SWINDON PCT",0,0
"5K3",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"SWINDON PCT",0,0
"5KF",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,0,"GATESHEAD PCT",0,0
"5KF",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,0,"GATESHEAD PCT",0,0
"5KF",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,0,"GATESHEAD PCT",0,0
"5KG",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,0,"SOUTH TYNESIDE PCT",0,0
"5KG",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,0,"SOUTH TYNESIDE PCT",0,0
"5KG",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,0,"SOUTH TYNESIDE PCT",0,0
"5KL",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"SUNDERLAND TEACHING PCT",0,0
"5KL",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"SUNDERLAND TEACHING PCT",0,0
"5KL",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"SUNDERLAND TEACHING PCT",0,0
"5L1",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,1,"SOUTHAMPTON CITY PCT",0,0
"5L1",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,1,"SOUTHAMPTON CITY PCT",0,0
"5L1",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,1,"SOUTHAMPTON CITY PCT",0,0
"5L3",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,0,"MEDWAY PCT",0,0
"5L3",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,0,"MEDWAY PCT",0,0
"5L3",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,0,"MEDWAY PCT",0,0
"5L3",0,2010-11-01,"November",2010,0,0,0,0,0,NA,0,0,0,0,"MEDWAY PCT",0,0
"5L3",0,2010-12-01,"December",2010,0,0,0,0,0,NA,0,0,0,0,"MEDWAY PCT",0,0
"5L3",0,2011-01-01,"January",2011,0,0,0,0,0,NA,0,0,0,0,"MEDWAY PCT",0,0
"5L3",0,2011-02-01,"February",2011,0,0,0,0,0,NA,0,0,0,0,"MEDWAY PCT",0,0
"5L3",0,2011-03-01,"March",2011,0,0,0,0,0,NA,0,0,0,0,"MEDWAY PCT",0,0
"5L3",0,2011-04-01,"April",2011,0,0,0,0,0,NA,0,0,0,0,"MEDWAY PCT",0,0
"5L3",0,2011-05-01,"May",2011,0,0,0,0,0,NA,0,0,0,0,"MEDWAY PCT",0,0
"5L3",0,2011-06-01,"June",2011,0,0,0,0,0,NA,0,0,0,0,"MEDWAY PCT",0,0
"5L3",0,2011-07-01,"July",2011,0,0,0,0,0,NA,0,0,0,0,"MEDWAY PCT",0,0
"5M3",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"WALSALL TEACHING PCT",0,0
"5M3",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"WALSALL TEACHING PCT",0,0
"5M3",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"WALSALL TEACHING PCT",0,0
"5M3",0,2010-11-01,"November",2010,0,0,0,0,0,NA,NA,NA,0,0,"WALSALL TEACHING PCT",0,0
"5M3",0,2010-12-01,"December",2010,0,0,0,0,0,NA,NA,NA,0,0,"WALSALL TEACHING PCT",0,0
"5M3",0,2011-01-01,"January",2011,0,0,0,0,0,NA,NA,NA,0,0,"WALSALL TEACHING PCT",0,0
"5M3",0,2011-02-01,"February",2011,0,0,0,0,0,NA,NA,NA,0,0,"WALSALL TEACHING PCT",0,0
"5M3",0,2011-03-01,"March",2011,0,0,0,0,0,NA,NA,NA,0,0,"WALSALL TEACHING PCT",0,0
"5M3",NA,2011-04-01,"April",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"WALSALL TEACHING PCT",0,0
"5M3",NA,2011-05-01,"May",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"WALSALL TEACHING PCT",0,0
"5M6",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,1,"RICHMOND AND TWICKENHAM PCT",0,0
"5M6",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,1,"RICHMOND AND TWICKENHAM PCT",0,0
"5M6",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,1,"RICHMOND AND TWICKENHAM PCT",0,0
"5M8",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,0,"NORTH SOMERSET PCT",0,0
"5M8",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,0,"NORTH SOMERSET PCT",0,0
"5M8",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,0,"NORTH SOMERSET PCT",0,0
"5MD",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"COVENTRY TEACHING PCT",0,0
"5MD",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"COVENTRY TEACHING PCT",0,0
"5MD",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"COVENTRY TEACHING PCT",0,0
"5MV",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"WOLVERHAMPTON CITY PCT",0,0
"5MV",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"WOLVERHAMPTON CITY PCT",0,0
"5MV",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"WOLVERHAMPTON CITY PCT",0,0
"5MX14",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,0,"SUMMERFIELD URGENT CARE CENTRE",0,0
"5MX14",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,0,"SUMMERFIELD URGENT CARE CENTRE",0,0
"5MX37",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,0,"GREET COMMUNITY HEALTH CLINIC",0,0
"5MX37",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,0,"GREET COMMUNITY HEALTH CLINIC",0,0
"5MX93",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,0,"BIRMINGHAM COIN",0,0
"5MX93",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,0,"BIRMINGHAM COIN",0,0
"5MX93",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,0,"BIRMINGHAM COIN",0,0
"5N2",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"KIRKLEES PCT",0,0
"5N2",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"KIRKLEES PCT",0,0
"5N2",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"KIRKLEES PCT",0,0
"5N4",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"SHEFFIELD PCT",0,0
"5N4",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"SHEFFIELD PCT",0,0
"5N4",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"SHEFFIELD PCT",0,0
"5N5",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"DONCASTER PCT",0,0
"5N5",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"DONCASTER PCT",0,0
"5N5",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"DONCASTER PCT",0,0
"5N6",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"DERBYSHIRE COUNTY PCT",0,0
"5N6",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"DERBYSHIRE COUNTY PCT",0,0
"5N6",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"DERBYSHIRE COUNTY PCT",0,0
"5N7",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"DERBY CITY PCT",0,0
"5N7",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"DERBY CITY PCT",0,0
"5N7",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"DERBY CITY PCT",0,0
"5N724",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,0,"DERBY OPEN ACCESS CENTRE",0,0
"5N724",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,0,"DERBY OPEN ACCESS CENTRE",0,0
"5N724",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,0,"DERBY OPEN ACCESS CENTRE",0,0
"5N8",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"NOTTINGHAMSHIRE COUNTY TEACHING PCT",0,0
"5N8",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"NOTTINGHAMSHIRE COUNTY TEACHING PCT",0,0
"5N8",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"NOTTINGHAMSHIRE COUNTY TEACHING PCT",0,0
"5N9",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"LINCOLNSHIRE TEACHING PCT",0,0
"5N9",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"LINCOLNSHIRE TEACHING PCT",0,0
"5N9",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"LINCOLNSHIRE TEACHING PCT",0,0
"5NA",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,1,"REDBRIDGE PCT",0,0
"5NC",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,1,"WALTHAM FOREST PCT",0,0
"5NC",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,1,"WALTHAM FOREST PCT",0,0
"5NC",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,1,"WALTHAM FOREST PCT",0,0
"5NE",0,2010-08-01,"August",2010,0,0,0,0,0,NA,0,0,0,1,"CUMBRIA TEACHING PCT",0,0
"5NE",0,2010-09-01,"September",2010,0,0,0,0,0,NA,0,0,0,1,"CUMBRIA TEACHING PCT",0,0
"5NE",0,2010-10-01,"October",2010,0,0,0,0,0,NA,0,0,0,1,"CUMBRIA TEACHING PCT",0,0
"5NG",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"CENTRAL LANCASHIRE PCT",0,0
"5NG",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"CENTRAL LANCASHIRE PCT",0,0
"5NG",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"CENTRAL LANCASHIRE PCT",0,0
"5NH",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"EAST LANCASHIRE TEACHING PCT",0,0
"5NH",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"EAST LANCASHIRE TEACHING PCT",0,0
"5NH",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"EAST LANCASHIRE TEACHING PCT",0,0
"5NJ",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"SEFTON PCT",0,0
"5NJ",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"SEFTON PCT",0,0
"5NJ",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"SEFTON PCT",0,0
"5NK",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"WIRRAL PCT",0,0
"5NK",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"WIRRAL PCT",0,0
"5NK",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"WIRRAL PCT",0,0
"5NL",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"LIVERPOOL PCT",0,0
"5NL",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"LIVERPOOL PCT",0,0
"5NL",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"LIVERPOOL PCT",0,0
"5NM",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"HALTON AND ST HELENS PCT",0,0
"5NM",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"HALTON AND ST HELENS PCT",0,0
"5NM",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"HALTON AND ST HELENS PCT",0,0
"5NN",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"WESTERN CHESHIRE PCT",0,0
"5NN",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"WESTERN CHESHIRE PCT",0,0
"5NN",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"WESTERN CHESHIRE PCT",0,0
"5NP",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"CENTRAL AND EASTERN CHESHIRE PCT",0,0
"5NP",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"CENTRAL AND EASTERN CHESHIRE PCT",0,0
"5NP",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"CENTRAL AND EASTERN CHESHIRE PCT",0,0
"5NR",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"TRAFFORD PCT",0,0
"5NR",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"TRAFFORD PCT",0,0
"5NR",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"TRAFFORD PCT",0,0
"5NT",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"MANCHESTER PCT",0,0
"5NT",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"MANCHESTER PCT",0,0
"5NT",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"MANCHESTER PCT",0,0
"5NV",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"NORTH YORKSHIRE AND YORK PCT",0,0
"5NV",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"NORTH YORKSHIRE AND YORK PCT",0,0
"5NV",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"NORTH YORKSHIRE AND YORK PCT",0,0
"5NW",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"EAST RIDING OF YORKSHIRE PCT",0,0
"5NW",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"EAST RIDING OF YORKSHIRE PCT",0,0
"5NW",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"EAST RIDING OF YORKSHIRE PCT",0,0
"5NX",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"HULL TEACHING PCT",0,0
"5NX",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"HULL TEACHING PCT",0,0
"5NX",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"HULL TEACHING PCT",0,0
"5P2",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"BEDFORDSHIRE PCT",0,0
"5P2",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"BEDFORDSHIRE PCT",0,0
"5P2",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"BEDFORDSHIRE PCT",0,0
"5P5",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"SURREY PCT",0,0
"5P5",0,2010-09-01,"September",2010,0,0,0,0,0,NA,NA,NA,0,0,"SURREY PCT",0,0
"5P5",0,2010-10-01,"October",2010,0,0,0,0,0,NA,NA,NA,0,0,"SURREY PCT",0,0
"5P6",0,2010-08-01,"August",2010,0,0,0,0,0,NA,NA,NA,0,0,"WEST SUSSEX PCT",0,0
