"year","period_end","org_code","org_name","total_on_beds_available","general_acute_on_beds_available","learn_disabil_on_beds_available","maternity_on_beds_available","mental_illness_on_beds_available","total_on_beds_occupied","general_acute_on_beds_occupied","learn_disabil_on_beds_occupied","maternity_on_beds_occupied","mental_illness_on_beds_occupied","total_on_beds_percent_occupied","general_acute_on_beds_percent_occupied","learn_disabil_on_beds_percent_occupied","maternity_on_beds_percent_occupied","mental_illness_on_beds_percent_occupied","quarter","total_day_beds_available","general_acute_day_beds_available","learn_disabil_day_beds_available","maternity_day_beds_available","mental_illness_day_beds_available","total_day_beds_occupied","general_acute_day_beds_occupied","learn_disabil_day_beds_occupied","maternity_day_beds_occupied","mental_illness_day_beds_occupied","total_day_beds_percent_occupied","general_acute_day_beds_percent_occupied","learn_disabil_day_beds_percent_occupied","maternity_day_beds_percent_occupied","mental_illness_day_beds_percent_occupied"
"2010","September","5CN","HEREFORDSHIRE PCT",80.5760869565217,0,6.57608695652174,0,74,59.4239130434783,0,5.39130434782609,0,54.0326086956522,0.737488196411709,NA,0.819834710743802,NA,0.730170387779083,"Q2",1.79347826086957,1.79347826086957,0,0,0,1.79347826086957,1.79347826086957,0,0,0,1,1,NA,NA,NA
"2010","December","5CN","HEREFORDSHIRE PCT",72.7826086956522,0,6.78260869565217,0,66,59.25,0,5.1195652173913,0,54.1304347826087,0.814068100358423,NA,0.754807692307692,NA,0.820158102766798,"Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011","March","5CN","HEREFORDSHIRE PCT",73.4111111111111,0,7.41111111111111,0,66,56.9777777777778,0,4.67777777777778,0,52.3,0.776146511275919,NA,0.631184407796102,NA,0.792424242424242,"Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","June","5CQ","MILTON KEYNES PCT",103.076923076923,33.0769230769231,6,0,64,92.1648351648352,30.4285714285714,5.05494505494505,0,56.6813186813187,0.894136460554371,0.919933554817276,0.842490842490842,NA,0.885645604395604,"Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","September","5CQ","MILTON KEYNES PCT",91,21,6,0,64,88.1521739130435,19.1739130434783,4.97826086956522,0,64,0.968705207835643,0.91304347826087,0.829710144927536,NA,1,"Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","December","5CQ","MILTON KEYNES PCT",70,0,6,0,64,53.3478260869565,0,4.57608695652174,0,48.7717391304348,0.762111801242236,NA,0.76268115942029,NA,0.762058423913043,"Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011","June","5CQ","MILTON KEYNES PCT",70,0,6,0,64,58.043956043956,0,5.8021978021978,0,52.2417582417582,0.829199372056515,NA,0.967032967032967,NA,0.816277472527473,"Q1",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2011","September","5CQ","MILTON KEYNES PCT",69,0,6,0,63,49.8369565217391,0,3.73913043478261,0,46.0978260869565,0.722274732199118,NA,0.623188405797101,NA,0.731711525189786,"Q2",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2011","December","5CQ","MILTON KEYNES PCT",69,0,6,0,63,61.1630434782609,0,3.95652173913043,0,57.2065217391304,0.886420919974795,NA,0.659420289855072,NA,0.908040027605245,"Q3",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2011","March","5CQ","MILTON KEYNES PCT",71.5555555555556,0,6.13333333333333,0,65.4222222222222,50.2888888888889,0,5.47777777777778,0,44.8111111111111,0.702795031055901,NA,0.893115942028985,NA,0.684952445652174,"Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012","June","5CQ","MILTON KEYNES PCT",70,0,7,0,63,57.5384615384615,0,4.02197802197802,0,53.5164835164835,0.821978021978022,NA,0.574568288854003,NA,0.849467992325135,"Q1",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2012","September","5CQ","MILTON KEYNES PCT",70,0,7,0,63,58.5760869565217,0,1.92391304347826,0,56.6521739130435,0.836801242236025,NA,0.274844720496894,NA,0.899240855762595,"Q2",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2012","December","5CQ","MILTON KEYNES PCT",70,0,7,0,63,62.2826086956522,0,2.77173913043478,0,59.5108695652174,0.889751552795031,NA,0.395962732919255,NA,0.944616977225673,"Q3",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2012","March","5CQ","MILTON KEYNES PCT",69,0,6,0,63,61.3736263736264,0,3.54945054945055,0,57.8241758241758,0.889472845994585,NA,0.591575091575092,NA,0.917844060701204,"Q4",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2013","March","5CQ","MILTON KEYNES PCT",70,0,7,0,63,55.9444444444444,0,2.64444444444444,0,53.3,0.799206349206349,NA,0.377777777777778,NA,0.846031746031746,"Q4",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2010","June","5F1","PLYMOUTH TEACHING PCT",244,100,0,0,144,219.263736263736,92.8461538461538,0,0,126.417582417582,0.898621869933345,0.928461538461538,NA,NA,0.877899877899878,"Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","September","5F1","PLYMOUTH TEACHING PCT",241.782608695652,97.7826086956522,0,0,144,212.380434782609,91.5434782608696,0,0,120.836956521739,0.878394173709764,0.936193863939529,NA,NA,0.839145531400966,"Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","December","5F1","PLYMOUTH TEACHING PCT",240,96,0,0,144,202.521739130435,88.5434782608696,0,0,113.978260869565,0.843840579710145,0.922327898550725,NA,NA,0.791515700483092,"Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011","June","5F1","PLYMOUTH TEACHING PCT",240.417582417582,96,0,0,144.417582417582,195.835164835165,86.6593406593407,0,0,109.175824175824,0.814562574275528,0.902701465201465,NA,NA,0.755973215644498,"Q1",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2011","September","5F1","PLYMOUTH TEACHING PCT",242,96,0,0,146,196.097826086957,83.1847826086957,0,0,112.913043478261,0.810321595400647,0.866508152173913,NA,NA,0.773377010125075,"Q2",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2011","March","5F1","PLYMOUTH TEACHING PCT",237.488888888889,93.4888888888889,0,0,144,207.544444444444,87.3,0,0,120.244444444444,0.873912229811921,0.933800808176848,NA,NA,0.835030864197531,"Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","June","5H8","ROTHERHAM PCT",18,8,10,0,0,9.92307692307692,6.52747252747253,3.3956043956044,0,0,0.551282051282051,0.815934065934066,0.33956043956044,NA,NA,"Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","September","5H8","ROTHERHAM PCT",17.8695652173913,7.8695652173913,10,0,0,8.23913043478261,5.02173913043478,3.21739130434783,0,0,0.461070559610706,0.638121546961326,0.321739130434783,NA,NA,"Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","December","5H8","ROTHERHAM PCT",15,5,10,0,0,7.35869565217391,3.48913043478261,3.8695652173913,0,0,0.490579710144928,0.697826086956522,0.38695652173913,NA,NA,"Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011","March","5H8","ROTHERHAM PCT",12,4,8,0,0,6.98888888888889,2.21111111111111,4.77777777777778,0,0,0.582407407407407,0.552777777777778,0.597222222222222,NA,NA,"Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","June","5JE","BARNSLEY PCT",165.428571428571,87.8241758241758,0,0,77.6043956043956,127.450549450549,69.0659340659341,0,0,58.3846153846154,0.770426464726983,0.786411411411411,NA,NA,0.752336448598131,"Q1",0.10989010989011,0.10989010989011,0,0,0,0.10989010989011,0.10989010989011,0,0,0,1,1,NA,NA,NA
"2010","September","5JE","BARNSLEY PCT",163.695652173913,87.8478260869565,0,0,75.8478260869565,118.271739130435,66.195652173913,0,0,52.0760869565217,0.722509960159363,0.753526354862658,NA,NA,0.6865864144454,"Q2",0.152173913043478,0.152173913043478,0,0,0,0.152173913043478,0.152173913043478,0,0,0,1,1,NA,NA,NA
"2010","December","5JE","BARNSLEY PCT",153.760869565217,87.8695652173913,0,0,65.8913043478261,113.760869565217,70.5217391304348,0,0,43.2391304347826,0.739855789622508,0.80257298367145,NA,NA,0.656219069613989,"Q3",0.130434782608696,0.130434782608696,0,0,0,0.130434782608696,0.130434782608696,0,0,0,1,1,NA,NA,NA
"2011","March","5JE","BARNSLEY PCT",148.955555555556,87.9,0,0,61.0555555555556,124.4,75.8222222222222,0,0,48.5777777777778,0.835148440996569,0.862596384780685,NA,NA,0.795632393084622,"Q4",0.1,0.1,0,0,0,0.1,0.1,0,0,0,1,1,NA,NA,NA
"2010","June","5JX","BURY PCT",12,12,0,0,0,11.7582417582418,11.7582417582418,0,0,0,0.97985347985348,0.97985347985348,NA,NA,NA,"Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","September","5JX","BURY PCT",12,12,0,0,0,10.0434782608696,10.0434782608696,0,0,0,0.83695652173913,0.83695652173913,NA,NA,NA,"Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","December","5JX","BURY PCT",12,12,0,0,0,10.7391304347826,10.7391304347826,0,0,0,0.894927536231884,0.894927536231884,NA,NA,NA,"Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011","March","5JX","BURY PCT",12,12,0,0,0,11.4777777777778,11.4777777777778,0,0,0,0.956481481481481,0.956481481481481,NA,NA,NA,"Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","June","5K3","SWINDON PCT",55.7142857142857,55.7142857142857,0,0,0,48.2747252747253,48.2747252747253,0,0,0,0.86646942800789,0.86646942800789,NA,NA,NA,"Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","September","5K3","SWINDON PCT",60,60,0,0,0,54.6413043478261,54.6413043478261,0,0,0,0.910688405797101,0.910688405797101,NA,NA,NA,"Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","December","5K3","SWINDON PCT",60,60,0,0,0,52.804347826087,52.804347826087,0,0,0,0.880072463768116,0.880072463768116,NA,NA,NA,"Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011","June","5K3","SWINDON PCT",60,60,0,0,0,57.3296703296703,57.3296703296703,0,0,0,0.955494505494505,0.955494505494505,NA,NA,NA,"Q1",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2011","September","5K3","SWINDON PCT",60,60,0,0,0,54.7391304347826,54.7391304347826,0,0,0,0.91231884057971,0.91231884057971,NA,NA,NA,"Q2",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2011","December","5K3","SWINDON PCT",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"Q3",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2011","March","5K3","SWINDON PCT",60,60,0,0,0,52.5888888888889,52.5888888888889,0,0,0,0.876481481481482,0.876481481481482,NA,NA,NA,"Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011","March","5K5","BRENT TEACHING PCT",52,52,0,0,0,45.6,45.6,0,0,0,0.876923076923077,0.876923076923077,NA,NA,NA,"Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","June","5K7","CAMDEN PCT",32.1758241758242,32.1758241758242,0,0,0,30.6153846153846,30.6153846153846,0,0,0,0.951502732240437,0.951502732240437,NA,NA,NA,"Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","September","5K7","CAMDEN PCT",54.6847826086956,54.6847826086956,0,0,0,52.7826086956522,52.7826086956522,0,0,0,0.965215662890082,0.965215662890082,NA,NA,NA,"Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","December","5K7","CAMDEN PCT",54.6847826086956,54.6847826086956,0,0,0,49.054347826087,49.054347826087,0,0,0,0.897038362154641,0.897038362154641,NA,NA,NA,"Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011","March","5K7","CAMDEN PCT",63,63,0,0,0,49.4444444444444,49.4444444444444,0,0,0,0.784832451499118,0.784832451499118,NA,NA,NA,"Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","June","5K8","ISLINGTON PCT",12,0,0,0,12,12,0,0,0,12,1,NA,NA,NA,1,"Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","September","5K8","ISLINGTON PCT",12,0,0,0,12,10.8478260869565,0,0,0,10.8478260869565,0.903985507246377,NA,NA,NA,0.903985507246377,"Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","December","5K8","ISLINGTON PCT",12,0,0,0,12,9.35869565217391,0,0,0,9.35869565217391,0.779891304347826,NA,NA,NA,0.779891304347826,"Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011","March","5K8","ISLINGTON PCT",12,0,0,0,12,9.82222222222222,0,0,0,9.82222222222222,0.818518518518519,NA,NA,NA,0.818518518518519,"Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","June","5KG","SOUTH TYNESIDE PCT",7,0,7,0,0,2.98901098901099,0,2.98901098901099,0,0,0.427001569858713,NA,0.427001569858713,NA,NA,"Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","September","5KG","SOUTH TYNESIDE PCT",7,0,7,0,0,4.06521739130435,0,4.06521739130435,0,0,0.580745341614907,NA,0.580745341614907,NA,NA,"Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","December","5KG","SOUTH TYNESIDE PCT",7,0,7,0,0,3.27173913043478,0,3.27173913043478,0,0,0.467391304347826,NA,0.467391304347826,NA,NA,"Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011","June","5KG","SOUTH TYNESIDE PCT",6,0,6,0,0,4.84615384615385,0,4.84615384615385,0,0,0.807692307692308,NA,0.807692307692308,NA,NA,"Q1",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2011","March","5KG","SOUTH TYNESIDE PCT",5.8,0,5.8,0,0,3.67777777777778,0,3.67777777777778,0,0,0.634099616858238,NA,0.634099616858238,NA,NA,"Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","June","5KL","SUNDERLAND TEACHING PCT",12,12,0,0,0,9.72527472527472,9.72527472527472,0,0,0,0.81043956043956,0.81043956043956,NA,NA,NA,"Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","September","5KL","SUNDERLAND TEACHING PCT",12,12,0,0,0,10.1086956521739,10.1086956521739,0,0,0,0.842391304347826,0.842391304347826,NA,NA,NA,"Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","December","5KL","SUNDERLAND TEACHING PCT",12,12,0,0,0,9.6304347826087,9.6304347826087,0,0,0,0.802536231884058,0.802536231884058,NA,NA,NA,"Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011","June","5KL","SUNDERLAND TEACHING PCT",12,12,0,0,0,9.07692307692308,9.07692307692308,0,0,0,0.756410256410256,0.756410256410256,NA,NA,NA,"Q1",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"2011","March","5KL","SUNDERLAND TEACHING PCT",12,12,0,0,0,8.56666666666667,8.56666666666667,0,0,0,0.713888888888889,0.713888888888889,NA,NA,NA,"Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","June","5KM","MIDDLESBROUGH PCT",44,44,0,0,0,35.7692307692308,35.7692307692308,0,0,0,0.812937062937063,0.812937062937063,NA,NA,NA,"Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","September","5KM","MIDDLESBROUGH PCT",44,44,0,0,0,36.7934782608696,36.7934782608696,0,0,0,0.836215415019763,0.836215415019763,NA,NA,NA,"Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","December","5KM","MIDDLESBROUGH PCT",44,44,0,0,0,38.8695652173913,38.8695652173913,0,0,0,0.883399209486166,0.883399209486166,NA,NA,NA,"Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011","March","5KM","MIDDLESBROUGH PCT",44,44,0,0,0,38.5333333333333,38.5333333333333,0,0,0,0.875757575757576,0.875757575757576,NA,NA,NA,"Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","June","5L1","SOUTHAMPTON CITY PCT",251.241758241758,85.2417582417582,22,0,144,208.208791208791,72.2087912087912,14.8681318681319,0,121.131868131868,0.828718890784237,0.847105839886554,0.675824175824176,NA,0.841193528693529,"Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","September","5L1","SOUTHAMPTON CITY PCT",247,81,22,0,144,201.652173913043,70.7282608695652,14.8369565217391,0,116.086956521739,0.816405562400986,0.873188405797101,0.674407114624506,NA,0.806159420289855,"Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","December","5L1","SOUTHAMPTON CITY PCT",245.25,81,21.8152173913043,0,142.434782608696,200.076086956522,70.2826086956522,14.0217391304348,0,115.771739130435,0.815804635908346,0.867686527106817,0.642750373692078,NA,0.81280525030525,"Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2011","March","5L1","SOUTHAMPTON CITY PCT",236,76,19,0,141,200.455555555556,70.1888888888889,14.1111111111111,0,116.155555555556,0.849387947269303,0.923538011695906,0.742690058479532,NA,0.823798266351458,"Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","June","5L3","MEDWAY PCT",15,15,0,0,0,10.967032967033,10.967032967033,0,0,0,0.731135531135531,0.731135531135531,NA,NA,NA,"Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","September","5L3","MEDWAY PCT",14.695652173913,14.695652173913,0,0,0,10.0652173913043,10.0652173913043,0,0,0,0.68491124260355,0.68491124260355,NA,NA,NA,"Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2010","December","5L3","MEDWAY PCT",15,15,0,0,0,10.1413043478261,10.1413043478261,0,0,0,0.676086956521739,0.676086956521739,NA,NA,NA,"Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
